iter	Passed	Remaining
764	68021	1265736
765	68100	1265467
766	68182	1265242
767	68266	1265066
768	68350	1264892
769	68438	1264781
770	68521	1264580
771	68599	1264290
772	68675	1263971
773	68755	1263719
774	68837	1263504
775	68915	1263211
776	68996	1262983
777	69076	1262727
778	69162	1262586
779	69242	1262340
780	69323	1262119
781	69406	1261920
782	69492	1261779
783	69569	1261476
784	69644	1261141
785	69724	1260895
786	69808	1260720
787	69892	1260555
788	69981	1260466
789	70059	1260183
790	70141	1259974
791	70215	1259623
792	70299	1259457
793	70383	1259286
794	70466	1259091
795	70554	1258982
796	70635	1258758
797	70722	1258650
798	70802	1258413
799	70884	1258192
800	70964	1257957
801	71047	1257770
802	71131	1257607
803	71218	1257486
804	71296	1257215
805	71373	1256918
806	71454	1256690
807	71528	1256359
808	71618	1256284
809	71700	1256094
810	71790	1256022
811	71870	1255777
812	71952	1255587
813	72035	1255404
814	72117	1255201
815	72195	1254920
816	72281	1254790
817	72361	1254556
818	72444	1254371
819	72526	1254177
820	72608	1253977
821	72685	1253686
822	72771	1253560
823	72851	1253330
824	72933	1253123
825	73010	1252849
826	73093	1252660
827	73172	1252416
828	73253	1252201
829	73333	1251974
830	73418	1251823
831	73494	1251522
832	73584	1251459
833	73665	1251245
834	73753	1251164
835	73833	1250935
836	73912	1250678
837	73996	1250523
838	74080	1250358
839	74161	1250147
840	74239	1249892
841	74323	1249722
842	74405	1249532
843	74484	1249296
844	74568	1249140
845	74652	1248973
846	74734	1248776
847	74813	1248534
848	74897	1248380
849	74979	1248195
850	75065	1248069
851	75149	1247907
852	75234	1247768
853	75322	1247673
854	75410	1247581
855	75492	1247388
856	75578	1247266
857	75657	1247019
858	75739	1246830
859	75820	1246629
860	75905	1246486
861	75987	1246308
862	76072	1246163
863	76150	1245904
864	76233	1245727
865	76308	1245432
866	76386	1245172
867	76467	1244971
868	76548	1244778
869	76624	1244488
870	76707	1244313
871	76790	1244144
872	76872	1243953
873	76957	1243825
874	77043	1243696
875	77119	1243424
