iter	MAE
1300	741.403816
1301	741.3044374
1302	741.1629464
1303	741.1082877
1304	741.0338244
1305	740.9771185
1306	740.9436941
1307	740.7692594
1308	740.5143656
1309	740.3777031
1310	740.2486892
1311	740.0236513
1312	739.9123821
1313	739.8738579
1314	739.7740532
1315	739.7165465
1316	739.4941838
1317	739.4252302
1318	739.3758824
1319	739.3439517
1320	739.2829398
1321	739.2139789
1322	739.0596799
1323	739.0189886
1324	738.9386354
1325	738.865767
1326	738.821462
1327	738.7603751
1328	738.7260015
1329	738.677739
1330	738.4939671
1331	738.4780893
1332	738.2845037
1333	738.1968836
1334	738.1682766
1335	738.0838772
1336	737.9726453
1337	737.9456244
1338	737.8712488
1339	737.7688235
1340	737.6392251
1341	737.5238085
1342	737.3965891
1343	737.1767899
1344	737.0966697
1345	737.0193911
1346	736.9182971
1347	736.6423099
1348	736.253463
1349	735.9533722
1350	735.7544299
1351	735.5827337
1352	735.5509175
1353	735.3739577
1354	735.3519029
1355	735.2221864
1356	735.1243762
1357	735.0240406
1358	734.8886286
1359	734.8553042
1360	734.8155319
1361	734.7888673
1362	734.7194691
1363	734.5670484
1364	734.5171097
1365	734.4964909
1366	734.4507392
1367	734.1455768
1368	734.104292
1369	733.9116098
1370	733.8562873
1371	733.7738555
1372	733.4682406
1373	733.2765295
1374	733.2176168
1375	733.0078068
1376	732.9688885
1377	732.9090303
1378	732.8200183
1379	732.7384287
1380	732.6389851
1381	732.3395053
1382	732.2709162
1383	731.9414345
1384	731.9228017
1385	731.8958029
1386	731.6355322
1387	731.586205
1388	731.4751398
1389	731.4354985
1390	731.4055332
1391	731.290053
1392	731.2387527
1393	731.0936309
1394	730.8041525
1395	730.7059809
1396	730.6118852
1397	730.5653217
1398	730.324188
1399	730.2102749
1400	730.1402742
1401	730.0923824
1402	730.007905
1403	729.8589212
1404	729.8242443
1405	729.5035756
1406	729.4781028
1407	729.4273158
1408	729.2751678
1409	729.2266034
1410	729.0730169
1411	728.7636181
1412	728.6460616
1413	728.614794
1414	728.5885108
1415	728.5598122
1416	728.4440529
1417	728.3410511
1418	728.3171723
1419	728.1072473
1420	728.0123551
1421	727.9549885
1422	727.7669592
1423	727.7373831
1424	727.6682981
1425	727.6494303
1426	727.6207396
1427	727.5935487
1428	727.5407433
1429	727.4410755
1430	727.3913836
1431	727.3354667
1432	727.256362
